,0,1,2,3,4,5,6
0,地方,振(cid:11206)局,地(cid:8556)(cid:9234)号,(cid:12411)(cid:8196)所名,よみがな,ローマ字(cid:12210)(cid:12464),所在地
1,九州,(cid:15285)児島,88061,(cid:14143)久(cid:7231),あくね,AKUNE,(cid:14143)久(cid:7231)市(cid:12901)(cid:8489)川　(cid:14143)久(cid:7231)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
2,九州,(cid:15285)児島,88081,大口,おおくち,OKUCHI,伊佐市大口原(cid:9187)
3,九州,(cid:15285)児島,88107,さつま柏原,さつまかしわばる,SATSUMAKASHIWABARU,(cid:11779)摩(cid:13446)さつま(cid:9195)柏原
4,九州,(cid:15285)児島,88131,中(cid:9163),なかこしき,NAKAKOSHIKI,(cid:11779)摩川内市上(cid:9163)(cid:9195)中(cid:9163)
5,九州,(cid:15285)児島,88151,川内,せんだい,SENDAI,(cid:11779)摩川内市中(cid:13459)
6,九州,(cid:15285)児島,88261,東市来,ひがしいちき,HIGASHIICHIKI,日(cid:10792)市東市来(cid:9195)(cid:8238)(cid:9187)
7,九州,(cid:15285)児島,88286,(cid:8766)之原,まきのはら,MAKINOHARA,(cid:14301)島市(cid:9887)山(cid:9195)(cid:9887)山
8,九州,(cid:15285)児島,88317,(cid:15285)児島,かごしま,KAGOSHIMA,(cid:15285)児島市東(cid:13446)元(cid:9195)　(cid:15285)児島地方(cid:7868)(cid:12767)台
9,九州,(cid:15285)児島,88331,(cid:13156)北,きほく,KIHOKU,(cid:15285)屋市(cid:13156)北(cid:9195)市成
10,九州,(cid:15285)児島,88371,加世(cid:9187),かせだ,KASEDA,南さつま市加世(cid:9187)東本(cid:9195)
11,九州,(cid:15285)児島,88406,志布志,しぶし,SHIBUSHI,志布志市志布志(cid:9195)志布志字杉の下
12,九州,(cid:15285)児島,88432,喜入,きいれ,KIIRE,(cid:15285)児島市喜入中名(cid:9195)
13,九州,(cid:15285)児島,88442,(cid:15285)屋,かのや,KANOYA,(cid:15285)屋市寿
14,九州,(cid:15285)児島,88447,(cid:10978)付前(cid:9187),きもつきまえだ,KIMOTSUKIMAEDA,(cid:10978)属(cid:13446)(cid:10978)付(cid:9195)前(cid:9187)
15,九州,(cid:15285)児島,88466,枕崎,まくらざき,MAKURAZAKI,枕崎市(cid:14807)(cid:12386)(cid:9195)　枕崎(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
16,九州,(cid:15285)児島,88486,指宿,いぶすき,IBUSUKI,指宿市十(cid:9195)
17,九州,(cid:15285)児島,88506,内之(cid:8070),うちのうら,UCHINOURA,(cid:10978)属(cid:13446)(cid:10978)付(cid:9195)北方
18,九州,(cid:15285)児島,88536,(cid:9187)代,たしろ,TASHIRO,(cid:10978)属(cid:13446)(cid:13834)(cid:7908)(cid:9195)(cid:9187)代(cid:15300)
