,0,1,2,3,4,5,6
0,地方,振(cid:11206)局,地(cid:8556)(cid:9234)号,(cid:12411)(cid:8196)所名,よみがな,ローマ字(cid:12210)(cid:12464),所在地
1,東(cid:8079),(cid:14332)岡,50106,井川,いかわ,IKAWA,(cid:14332)岡市(cid:11591)区井川
2,東(cid:8079),(cid:14332)岡,50136,御(cid:7818)場,ごてんば,GOTEMBA,御(cid:7818)場市(cid:11543)原
3,東(cid:8079),(cid:14332)岡,50196,富士,ふじ,FUJI,富士市厚原
4,東(cid:8079),(cid:14332)岡,50206,三島,みしま,MISHIMA,三島市東本(cid:9195)　三島(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
5,東(cid:8079),(cid:14332)岡,50226,佐久(cid:14059),さくま,SAKUMA,(cid:8062)松市天(cid:10099)区佐久(cid:14059)(cid:9195)(cid:8070)川
6,東(cid:8079),(cid:14332)岡,50241,川(cid:7231)本(cid:9195),かわねほんちょう,KAWANEHONCHO,(cid:7477)原(cid:13446)川(cid:7231)本(cid:9195)(cid:9187)代
7,東(cid:8079),(cid:14332)岡,50261,(cid:8171)(cid:7880),しみず,SHIMIZU,(cid:14332)岡市(cid:8171)(cid:7880)区(cid:11206)(cid:8032)中(cid:9195)
8,東(cid:8079),(cid:14332)岡,50281,(cid:10585)代,あじろ,AJIRO,(cid:8661)(cid:8079)市(cid:10585)代　(cid:10585)代(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
9,東(cid:8079),(cid:14332)岡,50331,(cid:14332)岡,しずおか,SHIZUOKA,(cid:14332)岡市(cid:14708)(cid:7961)区曲(cid:13600)　(cid:14332)岡地方(cid:7868)(cid:12767)台
10,東(cid:8079),(cid:14332)岡,50386,天(cid:10099),てんりゅう,TENRYU,(cid:8062)松市天(cid:10099)区(cid:11242)明
11,東(cid:8079),(cid:14332)岡,50456,(cid:8062)松,はままつ,HAMAMATSU,(cid:8062)松市中区(cid:14807)丘東　(cid:8062)松(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
12,東(cid:8079),(cid:14332)岡,50476,(cid:11493)川(cid:8766)之原,きくがわまきのはら,KIKUGAWA-MAKINOHARA,(cid:11493)川市倉(cid:7953)
13,東(cid:8079),(cid:14332)岡,50491,松崎,まつざき,MATSUZAKI,(cid:12833)(cid:11377)(cid:13446)松崎(cid:9195)(cid:7908)奈
14,東(cid:8079),(cid:14332)岡,50506,(cid:9988)取,いなとり,INATORI,(cid:12833)(cid:11377)(cid:13446)東伊(cid:12747)(cid:9195)(cid:9988)取
15,東(cid:8079),(cid:14332)岡,50536,(cid:9772)(cid:9187),いわた,IWATA,(cid:9772)(cid:9187)市南島
