"id","name"
"Sapporo","札幌"
"Nagoya","名古屋"
"Fukuoka","福岡"
"Sendai","仙台"
"Osaka","大阪"
"Kagoshima","鹿児島"
"Niigata","新潟"
"Hiroshima","広島"
"Naha","那覇"
"Tokyo","東京"
"Kochi","高知"
