"id","dt","2020103024","2020103103","2020103106","2020103109","2020103112","2020103115","2020103118","2020103121","2020103124","2020110103","2020110106","2020110109","2020110112","2020110115","2020110118","2020110121","2020110124"
"15241","2020/10/30 23:25","50","30","20","60","90","90","60","40","40","30","30","90","110","110","90","90","100"
"15251","2020/10/30 23:25","50","30","20","50","90","100","60","40","30","20","20","70","120","120","80","90","90"
"15311","2020/10/30 23:25","20","20","20","70","100","100","60","50","30","30","20","90","120","120","80","90","100"
"15321","2020/10/30 23:25","40","30","10","70","100","110","70","50","40","40","30","80","120","120","90","100","110"
"15356","2020/10/30 23:25","40","30","20","70","110","110","70","50","40","40","50","100","120","120","100","110","120"
"15431","2020/10/30 23:25","40","30","20","70","100","100","70","50","50","30","30","100","120","120","100","110","120"
"15442","2020/10/30 23:25","40","20","20","70","100","100","50","30","20","20","30","90","120","110","80","100","100"
"16026","2020/10/30 23:25","60","50","20","90","110","110","50","40","50","40","30","120","130","120","100","100","100"
"16061","2020/10/30 23:25","70","70","50","90","110","110","90","90","90","90","80","120","130","130","120","130","130"
"16076","2020/10/30 23:25","60","60","50","90","100","100","60","50","60","50","40","110","120","120","110","100","90"
"16091","2020/10/30 23:25","80","70","70","90","100","100","70","70","70","60","50","110","130","140","110","100","100"
"16156","2020/10/30 23:25","50","40","40","80","110","110","80","60","60","50","60","110","140","140","110","120","120"
"16206","2020/10/30 23:25","60","40","20","80","110","110","70","50","40","40","30","90","130","130","100","100","100"
"16217","2020/10/30 23:25","50","40","10","60","110","110","70","50","40","30","40","90","120","120","100","110","100"
"16252","2020/10/30 23:25","90","70","60","90","100","100","70","60","60","50","70","110","130","130","110","100","120"
"16281","2020/10/30 23:25","40","40","30","70","100","90","50","30","20","40","40","90","110","100","90","90","100"
"16286","2020/10/30 23:25","30","30","20","70","100","100","40","30","20","20","0","80","120","110","100","100","90"
"16321","2020/10/30 23:25","60","50","40","80","110","110","60","40","30","30","40","100","130","130","100","100","90"
"17036","2020/10/30 23:25","60","50","20","70","100","90","40","40","30","50","60","100","130","120","90","80","60"
"17076","2020/10/30 23:25","60","50","20","80","100","90","40","20","10","30","40","90","120","110","70","60","40"
"17091","2020/10/30 23:25","30","20","0","60","90","80","30","30","30","30","20","80","110","90","70","70","60"
"17112","2020/10/30 23:25","60","60","50","70","100","90","60","50","40","40","50","90","110","110","90","80","70"
"17166","2020/10/30 23:25","70","50","40","70","90","90","50","30","20","20","30","80","110","110","90","80","70"
"17196","2020/10/30 23:25","30","10","0","50","80","90","30","10","10","20","20","70","100","100","60","50","60"
"17246","2020/10/30 23:25","70","60","60","70","80","90","50","40","40","20","10","90","130","120","100","100","100"
"17306","2020/10/30 23:25","50","20","0","60","90","100","50","20","0","0","0","70","110","110","80","70","50"
"17316","2020/10/30 23:25","60","50","30","70","90","80","50","20","20","0","0","70","110","110","90","90","60"
"17341","2020/10/30 23:25","60","60","60","70","80","80","70","50","40","50","50","100","120","120","110","100","100"
"17351","2020/10/30 23:25","50","50","50","60","80","80","50","50","40","50","50","90","110","120","100","100","90"
"17482","2020/10/30 23:25","0","10","0","40","70","60","30","20","20","0","0","60","90","90","70","60","60"
"17501","2020/10/30 23:25","40","20","0","50","90","90","30","0","0","0","0","50","110","110","70","50","30"
"17521","2020/10/30 23:25","50","30","30","60","90","90","60","20","10","0","0","70","110","120","90","90","70"
"17546","2020/10/30 23:25","60","60","60","80","70","80","60","30","20","30","40","100","130","130","110","100","110"
"17561","2020/10/30 23:25","70","70","70","80","80","70","50","30","10","30","30","90","130","140","110","100","100"
"17596","2020/10/30 23:25","20","20","0","50","80","70","30","0","0","0","0","60","100","100","60","50","40"
"17607","2020/10/30 23:25","40","20","20","60","90","90","40","20","10","0","0","80","110","100","80","60","40"
"17631","2020/10/30 23:25","60","50","50","80","90","80","40","20","10","10","0","70","120","120","100","90","80"
"17717","2020/10/30 23:25","50","30","40","70","90","90","50","10","10","0","0","70","120","120","100","80","70"
"18038","2020/10/30 23:25","70","50","50","80","90","80","50","40","40","30","40","100","110","110","80","70","70"
"18136","2020/10/30 23:25","60","50","60","80","90","100","60","30","20","20","20","90","130","130","90","80","80"
"18161","2020/10/30 23:25","50","40","40","70","90","80","50","30","10","30","30","90","120","110","80","80","80"
"18171","2020/10/30 23:25","60","30","30","80","90","100","50","20","10","10","0","80","120","120","80","70","80"
"18256","2020/10/30 23:25","50","20","20","90","90","80","40","10","0","0","0","90","130","120","70","80","80"
"18273","2020/10/30 23:25","80","70","70","90","100","80","70","60","60","70","60","100","120","110","90","100","110"
"18281","2020/10/30 23:25","80","60","70","90","100","80","60","50","60","60","60","110","130","120","90","100","110"
"18311","2020/10/30 23:25","50","30","30","80","100","80","40","30","20","10","0","90","130","110","80","90","90"
"19021","2020/10/30 23:25","40","30","40","70","70","70","20","0","0","0","0","80","110","110","90","90","90"
"19051","2020/10/30 23:25","40","30","30","70","80","80","40","10","0","10","10","80","110","110","90","80","90"
"19076","2020/10/30 23:25","20","20","20","60","80","80","30","0","0","0","10","50","110","100","80","80","80"
"19151","2020/10/30 23:25","60","20","0","70","90","80","40","10","0","0","0","60","130","120","80","80","90"
"19191","2020/10/30 23:25","60","30","20","80","100","100","50","20","10","0","0","70","120","110","90","80","90"
"19261","2020/10/30 23:25","40","20","0","90","110","110","40","10","0","0","0","70","130","120","80","80","90"
"19311","2020/10/30 23:25","50","30","40","90","100","90","40","30","40","30","10","110","140","120","90","90","110"
"19376","2020/10/30 23:25","50","30","30","80","100","90","50","50","50","20","10","90","130","110","90","100","110"
"19416","2020/10/30 23:25","10","10","0","80","110","110","60","30","10","0","0","80","130","110","90","90","100"
"19432","2020/10/30 23:25","60","40","30","90","110","100","80","70","40","20","0","70","130","120","110","110","110"
"19451","2020/10/30 23:25","50","30","30","80","90","90","60","60","70","50","40","100","110","110","90","110","110"
"20146","2020/10/30 23:25","40","20","0","60","100","90","40","0","0","0","0","50","120","120","80","70","80"
"20186","2020/10/30 23:25","0","0","0","40","90","80","10","0","0","0","0","60","110","90","40","30","30"
"20266","2020/10/30 23:25","0","0","0","60","90","90","50","20","10","10","0","70","100","100","80","50","40"
"20276","2020/10/30 23:25","70","40","10","70","120","110","60","30","10","0","0","50","120","120","100","80","60"
"20341","2020/10/30 23:25","50","10","0","50","100","110","60","20","0","0","0","40","110","120","100","80","70"
"20356","2020/10/30 23:25","60","30","30","90","100","100","60","30","20","10","0","70","100","100","70","60","60"
"20361","2020/10/30 23:25","40","30","20","90","100","100","60","40","30","20","20","80","100","100","80","60","70"
"20371","2020/10/30 23:25","20","20","10","80","110","100","60","40","20","10","0","60","100","100","80","50","50"
"20421","2020/10/30 23:25","30","20","10","90","100","100","70","30","20","0","0","60","100","100","70","50","50"
"20432","2020/10/30 23:25","40","40","20","90","110","110","70","50","30","10","0","60","110","120","90","70","70"
"20441","2020/10/30 23:25","50","30","10","80","120","110","70","40","30","0","0","60","110","110","80","70","70"
"20506","2020/10/30 23:25","70","40","10","70","100","110","60","30","30","10","0","70","120","120","90","90","90"
"20556","2020/10/30 23:25","10","0","0","90","110","100","40","10","0","0","0","70","120","120","60","60","40"
"20601","2020/10/30 23:25","20","10","0","70","90","90","50","10","0","0","0","70","100","100","60","80","70"
"20606","2020/10/30 23:25","40","20","0","80","100","100","60","30","10","0","0","70","110","110","70","80","70"
"20631","2020/10/30 23:25","50","30","0","70","100","100","70","30","10","0","0","70","130","120","90","100","90"
"20696","2020/10/30 23:25","0","0","0","70","100","90","50","0","0","0","0","80","120","110","70","60","60"
"20751","2020/10/30 23:25","60","50","10","90","110","90","70","50","40","30","20","90","120","120","90","100","110"
"21111","2020/10/30 23:25","40","20","10","70","100","100","50","30","20","10","20","90","130","120","100","120","120"
"21126","2020/10/30 23:25","0","0","0","40","100","100","40","10","0","0","0","70","130","120","80","80","90"
"21161","2020/10/30 23:25","30","20","10","70","100","90","40","20","20","10","20","90","120","100","80","90","90"
"21171","2020/10/30 23:25","60","50","40","90","110","100","50","50","50","40","30","100","120","110","90","100","100"
"21187","2020/10/30 23:25","60","40","30","90","110","100","60","60","40","30","30","110","130","130","120","130","130"
"21226","2020/10/30 23:25","50","30","10","90","120","110","60","30","20","30","50","110","140","130","110","110","100"
"21261","2020/10/30 23:25","60","40","20","100","110","110","70","50","40","20","30","120","130","130","120","120","120"
"21276","2020/10/30 23:25","30","10","0","80","110","100","40","20","10","10","20","100","130","120","110","110","120"
"21297","2020/10/30 23:25","40","50","30","90","120","120","80","60","60","60","80","120","140","140","130","120","130"
"21312","2020/10/30 23:25","50","40","30","90","110","110","50","60","60","40","50","110","120","110","90","100","110"
"21323","2020/10/30 23:25","80","70","60","100","130","120","80","80","70","70","80","120","140","130","130","130","130"
"22036","2020/10/30 23:25","40","20","0","50","100","100","50","20","0","0","10","70","110","110","80","70","80"
"22141","2020/10/30 23:25","50","30","20","80","110","90","70","50","30","20","30","100","120","120","110","120","130"
"22156","2020/10/30 23:25","30","0","0","70","120","100","30","0","0","0","0","90","130","120","80","90","100"
"22241","2020/10/30 23:25","70","40","20","80","120","100","60","40","30","20","30","100","120","120","100","100","110"
"22291","2020/10/30 23:25","0","0","0","70","110","100","40","0","0","0","10","100","130","130","80","90","100"
"22306","2020/10/30 23:25","0","0","0","20","100","90","30","10","0","0","0","50","120","120","80","70","80"
"22327","2020/10/30 23:25","40","30","20","90","110","100","60","50","40","30","40","120","130","130","100","110","110"
"22391","2020/10/30 23:25","60","60","50","80","100","100","70","70","70","80","80","120","120","130","110","120","120"
"23031","2020/10/30 23:25","60","30","10","90","110","110","60","40","30","30","50","110","140","130","110","110","110"
"23086","2020/10/30 23:25","30","30","20","90","100","100","70","50","30","30","40","100","140","140","110","90","90"
"23166","2020/10/30 23:25","70","50","30","100","100","100","60","50","40","50","70","110","140","140","120","110","110"
"23206","2020/10/30 23:25","80","70","60","100","120","110","70","50","50","60","70","110","140","140","110","100","110"
"23226","2020/10/30 23:25","70","50","30","90","110","110","70","50","50","60","60","120","150","140","110","110","110"
"23232","2020/10/30 23:25","70","50","40","100","120","110","80","60","40","50","60","120","150","150","120","120","120"
"23326","2020/10/30 23:25","40","30","30","90","110","110","60","30","30","30","50","110","140","140","100","80","90"
"23376","2020/10/30 23:25","80","70","50","100","120","100","70","70","80","80","80","120","150","140","120","130","130"
"24141","2020/10/30 23:25","40","40","50","100","110","100","80","80","80","80","80","120","140","130","120","130","120"
"24041","2020/10/30 23:25","60","60","50","90","110","100","80","70","60","50","50","110","140","130","120","110","120"
"24051","2020/10/30 23:25","20","20","10","80","110","110","70","40","30","30","50","100","140","130","110","100","90"
"24101","2020/10/30 23:25","110","90","80","100","110","100","90","80","80","90","100","130","140","130","130","130","140"
"24201","2020/10/30 23:25","10","0","0","70","110","90","60","30","10","0","20","90","140","130","100","100","120"
"24217","2020/10/30 23:25","50","40","40","90","110","100","90","70","50","60","70","120","140","140","130","130","140"
"31001","2020/10/30 23:25","100","80","70","100","120","120","80","70","60","60","70","110","150","140","120","120","120"
"31111","2020/10/30 23:25","80","60","50","110","120","110","80","60","40","30","40","120","140","130","100","110","100"
"31121","2020/10/30 23:25","80","70","40","110","120","110","60","60","50","30","30","130","150","140","100","100","100"
"31136","2020/10/30 23:25","90","80","50","100","120","110","60","60","60","40","50","100","130","120","100","110","120"
"31156","2020/10/30 23:25","90","70","50","100","120","120","70","60","60","50","50","110","130","130","110","110","100"
"31186","2020/10/30 23:25","30","50","50","90","120","120","80","50","50","30","30","100","140","140","110","110","120"
"31201","2020/10/30 23:25","30","50","30","90","110","120","50","40","30","20","10","100","130","130","90","90","80"
"31296","2020/10/30 23:25","50","50","40","100","130","130","100","80","70","50","40","100","140","140","110","120","120"
"31312","2020/10/30 23:25","60","60","60","100","100","120","90","70","50","40","40","110","140","130","110","120","100"
"31332","2020/10/30 23:25","100","80","70","110","120","120","80","60","40","30","40","100","130","120","100","100","90"
"31336","2020/10/30 23:25","80","70","60","110","120","110","70","60","50","40","30","90","130","130","100","90","80"
"31366","2020/10/30 23:25","100","80","60","80","110","110","70","60","40","50","50","120","140","140","120","120","120"
"31436","2020/10/30 23:25","90","80","80","100","120","110","70","60","60","70","80","120","150","140","120","130","130"
"31461","2020/10/30 23:25","70","60","50","90","120","120","90","70","60","50","50","100","150","150","120","120","100"
"31466","2020/10/30 23:25","50","40","30","90","120","120","90","70","50","40","40","100","130","140","120","120","120"
"31482","2020/10/30 23:25","10","30","30","50","70","60","40","40","30","20","40","70","90","70","70","90","80"
"31506","2020/10/30 23:25","70","70","60","120","120","120","80","70","60","50","40","100","140","130","100","100","100"
"31586","2020/10/30 23:25","40","50","40","110","130","120","80","60","50","40","10","100","140","120","100","90","90"
"31602","2020/10/30 23:25","60","60","50","110","120","120","90","70","50","50","50","110","140","130","100","100","90"
"31646","2020/10/30 23:25","40","20","20","80","110","110","60","50","40","20","20","80","120","120","90","90","90"
