"id","dt","2020091412","2020091415","2020091418","2020091421","2020091424","2020091503","2020091506","2020091509","2020091512","2020091515","2020091518","2020091521","2020091524","2020091603","2020091606","2020091609","2020091612","2020091615","2020091618","2020091621","2020091624"
"14121","2020/09/14 09:25","170","170","150","140","140","140","140","160","190","190","170","170","170","170","160","200","230","230","180","180","180"
"14136","2020/09/14 09:25","160","170","150","140","150","140","140","160","200","200","170","170","160","160","160","200","230","230","180","180","180"
"14163","2020/09/14 09:25","170","170","150","150","150","140","150","170","190","200","180","180","180","190","180","210","220","230","210","210","200"
"14206","2020/09/14 09:25","160","160","140","140","140","130","140","160","190","180","170","160","160","170","160","190","220","210","180","180","180"
"14286","2020/09/14 09:25","140","130","130","130","140","130","130","150","160","160","170","170","160","160","160","180","190","190","170","180","180"
"15116","2020/09/14 09:25","150","160","130","130","120","130","140","160","180","190","160","160","150","160","160","190","220","220","180","180","170"
"15161","2020/09/14 09:25","150","160","130","140","130","120","130","160","190","200","160","160","150","150","160","180","220","220","180","180","170"
"15231","2020/09/14 09:25","150","150","130","130","120","120","120","150","190","200","170","160","150","150","150","180","220","230","180","180","170"
"15241","2020/09/14 09:25","150","160","130","130","130","130","130","150","190","200","160","150","150","150","160","190","220","220","180","180","180"
"15251","2020/09/14 09:25","150","150","120","130","130","120","120","150","180","180","150","150","160","170","180","190","210","220","190","180","170"
"15311","2020/09/14 09:25","170","170","140","140","140","130","140","150","200","200","170","160","160","160","160","190","230","230","190","180","170"
"15321","2020/09/14 09:25","160","160","140","140","140","130","130","150","200","210","180","170","160","160","160","190","230","230","190","180","180"
"15356","2020/09/14 09:25","160","170","150","150","140","140","140","150","200","200","170","160","160","160","160","200","230","240","190","190","180"
"15431","2020/09/14 09:25","170","170","150","140","140","140","140","160","210","200","170","170","160","160","160","200","220","230","190","180","180"
"15442","2020/09/14 09:25","160","150","130","120","130","120","120","160","190","190","160","150","160","160","160","180","220","220","180","180","180"
"16026","2020/09/14 09:25","200","180","160","160","160","150","160","210","230","220","190","190","180","170","170","230","240","230","190","180","160"
"16061","2020/09/14 09:25","200","190","170","160","170","160","170","220","230","220","190","190","190","180","180","220","230","220","200","190","180"
"16076","2020/09/14 09:25","190","190","150","140","150","150","150","200","220","210","190","180","190","180","180","220","230","220","190","180","170"
"16091","2020/09/14 09:25","180","190","160","150","160","160","160","190","220","210","190","180","180","180","180","220","230","230","200","190","190"
"16156","2020/09/14 09:25","200","190","160","160","170","160","170","210","210","210","190","190","190","180","180","230","240","220","190","190","170"
"16206","2020/09/14 09:25","180","170","160","160","160","160","170","200","210","200","180","190","180","170","160","210","240","230","190","180","170"
"16217","2020/09/14 09:25","180","170","150","150","160","160","150","190","200","200","180","180","180","180","170","210","230","230","190","180","170"
"16252","2020/09/14 09:25","180","170","160","160","160","160","170","190","200","200","180","190","180","180","180","220","240","230","190","190","180"
"16281","2020/09/14 09:25","160","150","130","140","140","140","150","170","180","190","160","170","170","160","150","190","210","210","170","170","160"
"16286","2020/09/14 09:25","170","160","130","140","140","130","140","180","190","180","160","170","170","160","160","210","220","210","180","170","150"
"16321","2020/09/14 09:25","170","160","160","170","170","160","170","190","190","190","180","180","170","160","150","200","230","220","190","180","170"
"17036","2020/09/14 09:25","160","170","130","120","120","100","110","150","150","160","160","150","150","140","150","190","220","210","190","170","160"
"17076","2020/09/14 09:25","160","170","130","110","110","100","100","150","160","160","160","140","140","140","150","190","210","220","200","170","160"
"17091","2020/09/14 09:25","150","150","110","100","90","90","100","140","160","170","150","130","120","110","120","190","220","220","180","150","140"
"17112","2020/09/14 09:25","190","170","130","120","120","120","120","160","190","200","180","150","160","160","170","200","220","220","200","190","190"
"17166","2020/09/14 09:25","160","150","120","110","110","110","120","150","190","180","160","140","140","150","170","200","220","230","190","180","170"
"17196","2020/09/14 09:25","160","140","110","100","100","100","100","130","160","180","160","130","120","110","120","160","210","210","180","160","140"
"17246","2020/09/14 09:25","170","160","120","120","120","110","110","140","180","170","160","150","150","160","170","220","240","230","200","190","180"
"17306","2020/09/14 09:25","170","140","120","120","120","110","120","150","180","180","160","150","140","140","160","180","220","220","190","180","170"
"17316","2020/09/14 09:25","170","140","110","110","100","100","120","140","170","170","150","140","140","150","170","180","220","210","180","180","170"
"17341","2020/09/14 09:25","180","170","130","110","110","120","120","150","170","170","150","150","150","160","180","210","220","220","190","180","170"
"17351","2020/09/14 09:25","170","170","120","110","100","100","110","160","180","170","140","140","150","150","150","200","220","220","180","180","170"
"17482","2020/09/14 09:25","130","120","110","110","100","90","100","150","180","180","150","140","120","110","120","160","220","210","170","150","140"
"17501","2020/09/14 09:25","160","140","110","110","110","100","110","150","180","180","150","140","140","140","150","170","210","210","180","170","160"
"17521","2020/09/14 09:25","170","150","120","110","110","100","110","140","170","170","140","140","140","140","160","190","210","220","190","180","170"
"17546","2020/09/14 09:25","170","160","110","110","100","110","120","140","160","160","130","140","150","150","170","200","210","220","180","180","170"
"17561","2020/09/14 09:25","170","170","120","120","110","100","120","150","170","170","140","140","140","160","170","210","240","230","190","180","170"
"17596","2020/09/14 09:25","150","130","110","110","90","90","90","140","170","170","140","130","120","130","140","170","200","200","170","160","150"
"17607","2020/09/14 09:25","150","130","110","110","110","100","110","140","170","170","140","140","140","140","160","180","210","190","170","180","170"
"17631","2020/09/14 09:25","170","160","110","110","100","110","120","130","150","160","130","140","140","150","160","190","220","210","180","170","160"
"17717","2020/09/14 09:25","170","150","120","100","90","100","110","140","170","180","140","140","140","150","160","190","210","220","180","170","160"
"18038","2020/09/14 09:25","160","150","110","110","110","100","110","140","170","160","140","150","150","140","140","170","180","180","170","160","160"
"18136","2020/09/14 09:25","170","150","120","120","120","120","130","150","160","170","150","140","150","160","160","190","210","210","170","160","160"
"18161","2020/09/14 09:25","150","150","100","100","90","90","100","130","150","150","130","130","130","140","140","160","190","200","160","150","140"
"18171","2020/09/14 09:25","150","140","110","110","100","100","110","130","140","140","130","130","140","140","140","170","200","200","170","150","140"
"18256","2020/09/14 09:25","150","150","110","100","90","100","110","140","150","160","130","130","150","150","150","180","210","200","160","140","140"
"18273","2020/09/14 09:25","150","150","120","120","110","110","120","140","170","160","140","150","150","140","150","180","210","210","160","160","160"
"18281","2020/09/14 09:25","160","160","120","120","120","110","120","160","170","170","140","150","150","140","150","190","210","210","160","160","150"
"18311","2020/09/14 09:25","160","150","110","100","90","100","110","130","170","160","130","140","140","140","150","170","200","200","150","140","140"
"19021","2020/09/14 09:25","150","150","110","100","100","100","100","130","140","150","130","140","130","140","150","160","180","190","170","160","150"
"19051","2020/09/14 09:25","140","140","100","100","100","100","100","130","140","150","130","120","130","130","140","150","170","170","160","150","150"
"19076","2020/09/14 09:25","120","110","100","90","90","80","90","120","150","150","120","130","130","130","150","160","180","180","160","150","150"
"19151","2020/09/14 09:25","150","140","110","100","90","100","110","130","160","150","130","130","130","150","150","170","190","190","170","150","150"
"19191","2020/09/14 09:25","140","130","120","110","100","110","110","150","170","160","140","140","140","150","160","170","190","190","170","160","160"
"19261","2020/09/14 09:25","130","130","120","110","100","100","110","150","170","160","140","140","150","150","150","180","210","200","170","160","160"
"19311","2020/09/14 09:25","150","140","120","120","110","110","120","130","160","160","150","150","160","160","160","180","200","190","170","160","150"
"19376","2020/09/14 09:25","130","130","110","100","100","100","110","140","160","150","130","150","150","150","150","170","210","200","160","160","150"
"19416","2020/09/14 09:25","140","140","110","110","110","110","110","150","160","170","150","150","160","160","160","180","190","190","170","170","170"
"19432","2020/09/14 09:25","140","130","130","120","120","110","120","160","160","160","160","170","160","160","170","190","200","200","180","180","180"
"19451","2020/09/14 09:25","140","130","110","110","110","110","120","140","160","160","140","150","160","150","160","170","190","180","170","170","170"
"20146","2020/09/14 09:25","130","130","110","110","110","100","100","120","160","160","140","150","140","140","150","180","190","190","170","170","160"
"20186","2020/09/14 09:25","130","130","100","100","100","100","100","120","140","150","120","130","120","120","120","150","180","170","150","140","140"
"20266","2020/09/14 09:25","130","130","110","110","100","100","100","130","160","150","140","140","140","140","140","160","180","180","170","160","150"
"20276","2020/09/14 09:25","150","150","130","120","120","110","120","140","180","170","160","150","150","150","160","180","210","210","190","180","170"
"20341","2020/09/14 09:25","140","140","120","110","110","110","120","150","170","160","150","150","150","150","150","190","210","210","190","180","170"
"20356","2020/09/14 09:25","130","130","110","110","100","100","100","130","150","160","140","140","140","140","140","170","190","190","170","160","150"
"20361","2020/09/14 09:25","130","130","120","110","110","110","110","130","160","160","150","140","150","140","150","180","200","200","170","160","160"
"20371","2020/09/14 09:25","130","140","120","110","110","110","110","140","160","160","150","150","150","140","140","170","190","190","170","170","160"
"20421","2020/09/14 09:25","120","130","130","120","110","110","110","140","160","160","150","150","140","140","150","170","200","210","180","170","160"
"20432","2020/09/14 09:25","130","130","150","130","120","120","120","150","170","180","160","160","150","150","150","170","200","200","180","180","170"
"20441","2020/09/14 09:25","140","150","130","120","120","120","120","150","170","180","160","160","160","150","150","170","200","200","180","170","170"
"20506","2020/09/14 09:25","140","140","130","130","120","120","120","160","180","180","160","170","160","160","160","180","200","210","180","180","170"
"20556","2020/09/14 09:25","130","140","130","120","120","110","110","150","170","180","160","150","150","150","150","180","200","210","180","170","160"
"20601","2020/09/14 09:25","110","110","120","100","100","100","110","140","150","150","150","130","130","140","140","170","190","190","160","160","150"
"20606","2020/09/14 09:25","120","120","130","110","110","100","110","140","160","160","170","140","140","140","140","170","190","200","170","160","150"
"20631","2020/09/14 09:25","160","160","140","130","130","130","120","160","200","190","170","170","160","150","160","180","200","200","170","170","160"
"20696","2020/09/14 09:25","130","130","130","100","100","100","110","150","160","170","160","140","150","150","150","180","200","200","170","170","150"
"20751","2020/09/14 09:25","140","150","150","120","110","110","120","150","160","170","160","150","150","160","170","190","190","200","180","170","160"
"21111","2020/09/14 09:25","160","160","130","140","140","130","130","180","200","190","170","170","170","170","170","200","220","230","190","190","190"
"21126","2020/09/14 09:25","160","160","140","140","130","120","120","170","200","200","160","160","150","150","160","180","220","230","190","180","170"
"21161","2020/09/14 09:25","160","160","140","150","140","130","140","170","180","170","170","170","160","160","150","200","220","210","170","170","150"
"21171","2020/09/14 09:25","160","150","140","150","150","140","150","160","180","170","180","170","170","160","160","190","210","200","180","170","170"
"21187","2020/09/14 09:25","180","160","150","150","160","150","150","190","200","190","210","180","170","170","170","200","220","200","190","190","190"
"21226","2020/09/14 09:25","180","180","170","180","180","170","170","190","220","210","190","200","190","170","160","210","230","220","190","190","170"
"21261","2020/09/14 09:25","180","160","160","160","170","170","160","190","210","210","190","190","190","180","180","200","210","200","190","200","190"
"21276","2020/09/14 09:25","170","170","140","140","130","140","150","190","210","190","180","180","170","170","170","210","220","230","190","190","190"
"21297","2020/09/14 09:25","190","180","170","170","170","160","170","200","220","220","200","190","190","180","170","210","230","230","200","190","180"
"21312","2020/09/14 09:25","150","150","140","150","150","140","150","170","180","190","170","170","170","160","170","200","220","200","170","170","170"
"21323","2020/09/14 09:25","170","170","150","160","160","170","170","190","210","200","180","180","180","180","190","210","230","220","190","190","190"
"22036","2020/09/14 09:25","160","160","130","120","120","110","120","160","200","210","160","150","150","140","140","180","210","220","180","170","160"
"22141","2020/09/14 09:25","160","170","140","140","130","130","140","180","190","190","170","170","170","170","170","200","220","210","190","190","180"
"22156","2020/09/14 09:25","170","170","140","130","130","130","120","180","210","200","160","160","150","150","160","200","230","230","190","180","160"
"22241","2020/09/14 09:25","170","180","150","140","140","140","150","190","210","210","180","180","170","170","170","220","230","230","200","190","180"
"22291","2020/09/14 09:25","170","180","140","120","120","130","130","180","200","210","170","160","160","160","170","220","240","230","190","170","160"
"22306","2020/09/14 09:25","160","160","130","120","110","110","120","170","190","180","150","150","150","140","150","210","230","220","170","170","160"
"22327","2020/09/14 09:25","170","170","140","140","130","130","150","180","200","200","170","170","170","170","180","210","230","220","190","180","180"
"22391","2020/09/14 09:25","140","150","150","140","130","140","140","150","170","180","180","170","160","170","180","190","210","200","180","180","180"
