"id","dt","2020072618","2020072621","2020072624","2020072703","2020072706","2020072709","2020072712","2020072715","2020072718","2020072721","2020072724","2020072803","2020072806","2020072809","2020072812","2020072815","2020072818","2020072821","2020072824"
"14206","2020/07/26 16:25","190","170","170","170","170","180","170","170","160","160","160","160","170","210","230","240","180","160","160"
"14286","2020/07/26 16:25","160","160","160","150","160","160","160","160","160","160","160","150","170","190","210","220","170","170","160"
"15116","2020/07/26 16:25","230","180","170","160","160","210","240","240","200","180","160","160","170","210","250","260","210","190","180"
"15161","2020/07/26 16:25","210","180","170","160","160","200","240","230","190","180","160","160","170","210","240","250","220","190","190"
"15231","2020/07/26 16:25","210","180","170","150","160","200","230","210","200","170","160","150","160","210","240","250","220","190","180"
"15241","2020/07/26 16:25","200","170","170","160","170","200","220","210","190","170","160","160","170","200","240","250","210","190","180"
"15251","2020/07/26 16:25","220","190","170","170","170","200","230","220","180","180","160","150","170","210","240","250","220","200","190"
"15311","2020/07/26 16:25","190","170","170","170","170","180","190","180","170","170","170","160","170","210","240","250","210","180","170"
"15321","2020/07/26 16:25","190","180","170","170","170","190","200","190","180","170","170","160","170","210","240","250","210","180","170"
"15356","2020/07/26 16:25","190","170","170","170","170","180","190","190","170","170","170","160","170","220","260","250","190","170","170"
"15431","2020/07/26 16:25","190","170","170","170","170","180","180","170","160","160","170","160","170","200","240","230","180","170","170"
"15442","2020/07/26 16:25","190","170","160","160","160","170","180","180","170","160","160","150","170","200","250","240","180","170","160"
"16026","2020/07/26 16:25","210","160","150","150","170","200","200","220","190","170","160","150","180","230","250","240","200","180","170"
"16061","2020/07/26 16:25","210","180","170","170","180","200","190","190","190","170","170","170","190","220","240","250","210","200","200"
"16076","2020/07/26 16:25","220","170","160","160","180","200","200","200","200","170","160","160","190","220","250","250","210","190","180"
"16091","2020/07/26 16:25","210","200","180","170","180","190","200","200","200","190","180","170","190","220","250","240","220","200","200"
"16156","2020/07/26 16:25","230","180","180","170","180","210","190","190","180","180","170","170","180","230","240","230","200","200","190"
"16206","2020/07/26 16:25","200","180","180","170","170","170","180","180","170","170","170","170","180","200","240","240","200","200","180"
"16217","2020/07/26 16:25","200","170","170","170","170","180","190","190","180","170","160","160","160","200","250","230","200","190","180"
"16252","2020/07/26 16:25","180","170","170","170","170","160","170","170","160","170","170","170","180","200","230","220","180","170","180"
"16281","2020/07/26 16:25","160","150","150","160","150","150","170","160","160","150","150","150","150","180","220","210","180","170","160"
"16286","2020/07/26 16:25","180","160","160","150","160","160","170","170","180","150","150","140","150","200","240","240","200","180","160"
"16321","2020/07/26 16:25","170","170","170","170","170","160","170","180","160","170","160","160","170","180","210","210","170","170","160"
"17036","2020/07/26 16:25","150","140","130","120","150","190","190","190","160","140","140","130","160","180","200","190","160","160","150"
"17076","2020/07/26 16:25","140","130","120","110","140","200","200","190","160","140","140","130","160","190","200","190","160","160","150"
"17091","2020/07/26 16:25","170","140","130","110","140","210","230","210","160","130","130","120","150","210","230","220","170","150","140"
"17112","2020/07/26 16:25","160","140","140","130","150","200","220","200","170","150","150","140","160","190","190","190","160","160","160"
"17166","2020/07/26 16:25","160","140","130","130","140","200","220","210","170","150","140","140","160","200","220","210","170","170","170"
"17196","2020/07/26 16:25","180","130","120","110","130","210","240","210","150","130","120","130","150","200","240","230","170","150","140"
"17246","2020/07/26 16:25","150","140","120","110","150","210","240","230","180","160","140","140","150","190","230","220","170","160","160"
"17306","2020/07/26 16:25","180","140","130","130","150","210","240","220","160","140","130","120","150","210","230","210","170","160","160"
"17316","2020/07/26 16:25","180","130","120","130","150","210","240","230","160","140","130","120","140","200","230","210","170","160","160"
"17341","2020/07/26 16:25","160","150","140","130","160","190","210","210","180","160","150","140","150","180","200","200","170","160","160"
"17351","2020/07/26 16:25","160","130","130","130","140","200","220","210","160","130","120","120","140","170","190","200","160","150","140"
"17482","2020/07/26 16:25","190","150","140","130","150","210","220","200","170","150","140","130","150","200","220","220","170","160","150"
"17501","2020/07/26 16:25","170","140","120","130","150","220","240","220","170","140","130","120","150","210","230","220","180","160","150"
"17521","2020/07/26 16:25","190","150","130","120","140","200","230","230","180","160","140","130","150","190","230","220","190","170","150"
"17546","2020/07/26 16:25","170","140","140","130","160","200","230","240","180","150","130","130","150","180","210","210","170","160","150"
"17561","2020/07/26 16:25","180","140","140","120","140","220","240","250","170","140","130","120","150","180","210","200","170","160","150"
"17596","2020/07/26 16:25","180","140","120","120","140","210","230","220","180","150","130","120","150","200","220","210","180","160","150"
"17607","2020/07/26 16:25","190","150","130","120","140","210","230","230","180","150","130","120","150","200","230","220","180","170","150"
"17631","2020/07/26 16:25","180","140","130","120","140","200","230","230","170","150","140","130","150","180","210","200","170","150","140"
"17717","2020/07/26 16:25","180","150","140","120","140","210","230","210","180","150","140","120","140","190","220","220","180","170","150"
"18038","2020/07/26 16:25","130","140","130","130","130","150","170","180","140","140","120","120","130","140","150","150","130","130","130"
"18136","2020/07/26 16:25","140","130","130","130","130","150","170","180","130","120","130","120","120","140","160","150","130","120","120"
"18161","2020/07/26 16:25","140","130","120","130","130","160","200","200","130","120","120","120","120","130","170","160","130","130","130"
"18171","2020/07/26 16:25","140","130","130","130","130","160","190","180","130","120","110","120","120","130","160","160","130","130","130"
"18256","2020/07/26 16:25","140","130","130","130","130","160","190","190","130","120","120","120","120","140","170","170","130","130","130"
"18273","2020/07/26 16:25","120","120","110","110","130","150","180","170","120","120","120","110","120","140","160","150","130","130","130"
"18281","2020/07/26 16:25","140","120","120","110","130","160","180","160","120","120","120","110","120","150","170","150","130","130","120"
"18311","2020/07/26 16:25","120","120","120","110","130","170","190","180","130","110","120","110","120","130","160","150","120","120","120"
"19021","2020/07/26 16:25","180","140","130","120","140","190","220","210","160","130","120","120","130","150","180","190","150","140","140"
"19051","2020/07/26 16:25","160","130","130","130","140","170","200","210","150","120","120","120","120","140","170","170","140","130","130"
"19076","2020/07/26 16:25","160","140","130","120","130","200","230","220","170","140","120","120","130","160","200","180","150","140","130"
"19151","2020/07/26 16:25","150","130","130","130","140","160","200","210","150","130","130","120","130","140","170","160","140","130","130"
"19191","2020/07/26 16:25","140","130","140","130","140","170","210","210","150","140","140","140","130","140","170","180","140","140","140"
"19261","2020/07/26 16:25","150","140","140","140","150","180","220","210","150","140","140","140","140","150","180","180","150","140","140"
"19311","2020/07/26 16:25","130","130","130","120","130","160","170","180","140","130","120","120","120","130","150","150","130","130","130"
"19376","2020/07/26 16:25","140","130","130","120","130","160","200","180","140","120","120","110","120","130","150","160","130","130","130"
"19416","2020/07/26 16:25","140","140","140","140","140","160","180","170","140","140","130","120","140","140","160","160","130","130","130"
"19432","2020/07/26 16:25","150","140","130","140","140","170","190","170","150","140","140","130","130","150","150","160","150","140","140"
"19451","2020/07/26 16:25","140","120","110","110","120","140","170","160","120","120","120","110","110","130","140","150","130","130","130"
"20146","2020/07/26 16:25","200","160","140","130","140","190","230","230","180","150","130","130","140","180","220","210","170","160","140"
"20186","2020/07/26 16:25","170","150","140","130","130","190","220","210","160","130","110","90","130","180","210","190","150","140","130"
"20266","2020/07/26 16:25","170","150","130","130","140","170","200","190","150","130","130","120","130","160","190","190","150","140","130"
