"id","dt","2020071406","2020071409","2020071412","2020071415","2020071418","2020071421","2020071424","2020071503","2020071506","2020071509","2020071512","2020071515","2020071518","2020071521","2020071524","2020071603","2020071606","2020071609","2020071612","2020071615","2020071618","2020071621","2020071624"
"14071","2020/07/14 03:25","170","210","240","250","200","170","180","160","170","210","240","240","210","180","180","160","170","190","220","210","180","160","160"
"14101","2020/07/14 03:25","170","210","240","240","190","170","170","170","180","200","230","240","200","170","170","160","170","190","220","220","180","160","170"
"14116","2020/07/14 03:25","170","220","260","250","210","170","170","170","180","220","240","230","200","180","160","160","180","210","230","220","190","170","170"
"14121","2020/07/14 03:25","170","210","240","240","200","180","170","170","180","200","240","230","200","170","160","160","180","200","220","210","180","160","170"
"14136","2020/07/14 03:25","170","210","230","240","190","170","170","170","180","200","230","240","190","160","150","150","170","190","220","230","180","160","170"
"14163","2020/07/14 03:25","170","210","230","230","200","180","180","180","180","210","230","230","210","200","190","180","180","200","230","220","200","190","190"
"14206","2020/07/14 03:25","160","200","220","210","180","170","160","150","160","200","230","230","180","160","150","150","170","190","220","210","180","170","170"
"14286","2020/07/14 03:25","150","180","210","210","170","160","160","150","150","170","210","220","180","160","160","150","160","170","190","200","170","160","160"
"15116","2020/07/14 03:25","170","210","240","250","200","170","160","150","160","210","250","240","200","170","160","150","170","190","220","230","190","160","150"
"15161","2020/07/14 03:25","170","200","230","240","210","180","170","150","160","200","230","240","200","180","160","160","170","190","220","220","190","170","160"
"15231","2020/07/14 03:25","170","200","230","230","200","170","160","150","160","200","230","240","210","170","160","150","160","190","220","230","180","160","150"
"15241","2020/07/14 03:25","160","200","240","240","200","170","160","160","160","200","230","240","200","180","170","160","170","200","220","220","190","170","150"
"15251","2020/07/14 03:25","160","200","230","230","200","170","170","150","160","200","220","230","210","190","170","160","170","200","220","230","200","170","160"
"15311","2020/07/14 03:25","170","200","230","230","190","170","170","170","180","200","230","240","200","170","160","150","160","190","230","230","190","160","160"
"15321","2020/07/14 03:25","170","210","250","250","200","180","170","160","170","210","230","240","200","180","170","160","170","200","230","230","190","170","170"
"15356","2020/07/14 03:25","170","210","240","240","190","170","170","160","170","200","230","240","200","180","170","160","170","200","220","230","190","170","170"
"15431","2020/07/14 03:25","170","210","240","230","190","170","170","160","180","200","230","240","200","170","160","160","170","190","220","210","180","170","170"
"15442","2020/07/14 03:25","150","190","220","210","170","160","160","140","160","180","220","220","180","160","150","150","160","180","210","210","170","160","160"
"16026","2020/07/14 03:25","170","200","220","220","180","150","150","130","160","200","230","230","190","170","150","140","160","200","220","210","180","150","140"
"16061","2020/07/14 03:25","180","200","240","230","200","180","170","160","170","200","230","230","200","170","170","160","170","190","210","220","190","170","170"
"16076","2020/07/14 03:25","170","210","230","230","190","170","160","140","160","210","230","230","200","170","160","150","160","200","220","210","190","160","150"
"16091","2020/07/14 03:25","180","210","250","240","210","180","170","160","170","210","250","240","200","190","180","160","170","200","220","220","190","180","180"
"16156","2020/07/14 03:25","180","210","220","210","200","170","160","140","170","210","220","220","200","170","160","160","170","210","220","220","190","170","150"
"16206","2020/07/14 03:25","170","200","220","220","190","170","150","140","160","200","210","200","190","170","150","150","160","200","220","230","190","170","150"
"16217","2020/07/14 03:25","170","190","220","200","200","170","160","150","160","190","210","210","180","160","150","150","150","190","230","220","190","170","150"
"16252","2020/07/14 03:25","180","210","250","240","180","160","160","150","170","200","230","230","190","160","150","160","180","200","220","220","180","170","170"
"16281","2020/07/14 03:25","150","180","200","210","170","150","140","130","150","170","200","190","170","140","130","130","150","180","200","210","170","150","140"
"16286","2020/07/14 03:25","150","190","220","210","180","150","140","120","150","190","220","210","180","150","140","130","150","190","210","220","180","150","140"
"16321","2020/07/14 03:25","170","200","210","210","180","170","170","150","160","190","200","210","170","150","130","140","150","200","230","230","180","160","150"
"17036","2020/07/14 03:25","150","160","180","180","150","140","140","140","150","180","200","190","160","140","130","130","150","170","180","180","170","150","150"
"17076","2020/07/14 03:25","150","160","180","180","160","140","140","140","160","190","200","200","160","140","140","140","160","170","190","190","170","150","140"
"17091","2020/07/14 03:25","140","160","180","190","150","130","140","130","140","180","210","200","160","140","130","120","140","190","220","210","180","140","140"
"17112","2020/07/14 03:25","150","170","190","200","170","150","140","150","170","190","220","210","140","130","140","150","160","170","180","170","160","150","160"
"17166","2020/07/14 03:25","150","160","190","200","160","150","150","150","170","200","210","200","150","140","150","150","170","180","180","180","170","160","160"
"17196","2020/07/14 03:25","130","170","190","200","150","130","130","120","140","190","220","210","150","140","120","110","130","190","230","220","180","140","130"
"17246","2020/07/14 03:25","150","160","190","200","170","150","150","150","160","190","210","220","160","140","140","130","160","190","200","200","170","150","160"
"17306","2020/07/14 03:25","140","170","180","190","160","140","130","130","150","190","210","200","160","150","140","140","150","190","200","200","180","150","140"
"17316","2020/07/14 03:25","140","160","180","180","160","130","130","130","140","180","200","210","160","140","140","130","150","190","200","210","160","140","130"
"17341","2020/07/14 03:25","150","170","180","190","170","160","160","150","160","190","200","200","160","150","150","140","160","190","180","180","180","170","170"
"17351","2020/07/14 03:25","140","150","160","170","160","140","130","120","140","180","200","200","150","130","130","120","140","160","170","180","160","140","140"
"17482","2020/07/14 03:25","120","160","200","190","150","130","130","120","130","180","200","200","160","130","120","110","130","190","220","200","170","150","140"
"17501","2020/07/14 03:25","130","170","180","190","170","140","130","130","140","180","210","200","170","140","140","140","150","190","210","210","180","150","130"
"17521","2020/07/14 03:25","140","170","180","180","170","140","140","140","150","180","200","210","170","140","140","130","150","190","210","220","180","160","150"
"17546","2020/07/14 03:25","140","160","180","190","150","150","140","140","150","180","210","200","150","140","130","120","150","190","200","200","170","150","150"
"17561","2020/07/14 03:25","140","170","190","200","150","140","140","130","150","180","230","210","160","150","130","120","140","180","200","210","170","160","140"
"17596","2020/07/14 03:25","120","150","190","200","160","130","130","130","130","170","200","200","160","140","130","130","140","190","210","210","170","160","140"
"17607","2020/07/14 03:25","130","170","190","200","160","140","130","130","140","180","210","210","170","140","140","140","150","190","220","220","180","160","150"
"17631","2020/07/14 03:25","140","170","170","180","160","140","130","130","140","180","200","200","150","130","120","110","140","180","220","210","170","150","150"
"17717","2020/07/14 03:25","140","170","170","180","170","140","140","140","150","170","190","200","160","140","130","120","150","180","210","220","180","160","150"
"18038","2020/07/14 03:25","150","160","160","150","140","130","120","110","120","140","170","160","130","120","120","110","120","140","160","150","130","130","130"
"18136","2020/07/14 03:25","140","190","160","160","140","130","130","120","120","130","160","170","120","110","110","100","110","130","150","150","120","110","110"
"18161","2020/07/14 03:25","140","180","150","150","130","120","120","110","120","130","160","160","120","110","110","100","110","130","170","180","130","120","120"
"18171","2020/07/14 03:25","140","170","150","150","130","130","120","110","120","130","170","160","120","110","110","100","100","130","160","160","120","120","120"
"18256","2020/07/14 03:25","140","180","160","160","130","130","130","120","120","150","160","150","120","110","110","110","110","130","160","160","120","120","120"
"18273","2020/07/14 03:25","150","180","180","160","140","130","120","110","110","150","160","150","130","110","110","100","110","130","150","160","120","120","130"
"18281","2020/07/14 03:25","140","170","190","170","130","120","120","110","110","150","170","150","120","110","110","110","110","130","140","140","130","110","120"
"18311","2020/07/14 03:25","140","180","170","160","130","130","120","120","120","160","160","160","130","110","100","100","100","120","150","150","110","110","120"
"19021","2020/07/14 03:25","130","160","180","190","150","140","130","130","130","150","190","190","140","130","120","110","120","160","200","200","160","140","130"
"19051","2020/07/14 03:25","140","170","180","170","140","130","130","130","120","140","180","170","120","120","110","110","120","150","200","190","150","130","130"
"19076","2020/07/14 03:25","130","170","190","190","160","140","120","120","130","140","190","200","140","120","120","110","120","160","200","190","160","140","130"
"19151","2020/07/14 03:25","130","170","180","170","150","130","130","120","130","140","160","170","140","120","120","110","120","140","180","180","140","130","130"
"19191","2020/07/14 03:25","140","170","190","190","160","140","130","130","140","150","170","180","140","130","130","120","120","160","190","190","150","140","140"
"19261","2020/07/14 03:25","150","180","200","180","160","150","140","130","140","150","180","190","140","140","130","120","130","160","200","190","160","140","130"
"19311","2020/07/14 03:25","130","170","180","180","140","140","130","130","120","140","150","160","140","120","120","110","110","130","140","140","120","120","130"
"19376","2020/07/14 03:25","140","160","190","180","150","120","120","120","120","130","160","170","140","110","110","100","110","130","160","170","130","130","130"
"19416","2020/07/14 03:25","150","190","200","190","150","140","130","120","130","150","180","170","140","130","120","120","130","160","160","150","130","140","140"
"19432","2020/07/14 03:25","160","190","190","180","170","150","140","130","140","160","190","170","140","130","120","120","130","160","150","160","150","140","140"
"19451","2020/07/14 03:25","150","170","200","180","140","130","120","110","120","130","160","170","130","110","110","100","100","130","150","150","130","130","140"
"20146","2020/07/14 03:25","140","170","200","210","170","150","140","130","130","160","200","200","170","150","140","140","140","170","210","210","180","160","150"
"20186","2020/07/14 03:25","140","180","190","180","150","140","130","130","130","170","200","200","150","140","130","130","130","180","200","180","160","140","130"
"20266","2020/07/14 03:25","140","170","200","200","150","150","140","130","130","150","170","180","150","140","130","130","130","160","200","200","160","140","140"
"20276","2020/07/14 03:25","150","190","220","210","170","160","150","140","150","160","190","210","170","160","150","150","140","180","220","220","190","160","150"
"20341","2020/07/14 03:25","150","180","210","200","170","150","140","130","140","160","180","200","170","150","140","130","130","170","220","220","180","150","140"
"20356","2020/07/14 03:25","150","180","210","210","170","150","150","140","140","160","190","200","160","150","140","130","140","170","200","210","180","150","150"
"20361","2020/07/14 03:25","150","180","210","210","160","150","140","140","130","150","180","190","160","140","130","130","140","170","210","210","180","150","150"
"20371","2020/07/14 03:25","140","180","210","200","160","150","140","140","140","140","170","180","150","140","130","130","130","170","210","220","170","140","140"
"20421","2020/07/14 03:25","160","180","210","200","170","140","140","140","130","150","180","190","160","150","140","130","130","160","210","220","180","150","150"
