"id","dt","2020090709","2020090712","2020090715","2020090718","2020090721","2020090724","2020090803","2020090806","2020090809","2020090812","2020090815","2020090818","2020090821","2020090824","2020090903","2020090906","2020090909","2020090912","2020090915","2020090918","2020090921","2020090924"
"11001","2020/09/07 08:25","260","230","210","200","190","190","190","180","180","200","200","190","210","210","190","200","240","260","240","210","210","210"
"11016","2020/09/07 08:25","250","260","240","210","200","200","200","190","210","250","240","210","220","210","190","200","230","260","250","210","220","210"
"11046","2020/09/07 08:25","230","250","240","200","200","200","200","190","230","280","270","220","210","200","200","210","240","260","250","210","210","210"
"11076","2020/09/07 08:25","250","230","200","190","190","190","180","180","190","190","200","190","200","190","180","190","230","250","250","200","200","200"
"11121","2020/09/07 08:25","250","260","240","200","190","180","180","180","210","240","250","210","210","190","170","190","240","260","260","210","200","200"
"11151","2020/09/07 08:25","240","250","240","220","200","200","200","220","250","290","280","230","210","210","200","210","240","260","250","220","210","200"
"11176","2020/09/07 08:25","270","260","240","210","200","190","190","190","230","270","270","230","220","200","190","190","240","260","250","210","210","210"
"11206","2020/09/07 08:25","270","250","230","190","200","190","190","180","210","210","220","200","210","200","190","190","230","250","260","210","210","210"
"11276","2020/09/07 08:25","270","260","240","210","200","200","170","190","230","260","260","230","220","200","190","200","230","260","270","220","210","210"
"11291","2020/09/07 08:25","240","220","220","200","200","200","190","180","200","200","210","200","200","200","190","190","220","240","250","210","200","210"
"11316","2020/09/07 08:25","280","260","230","200","190","190","180","180","220","220","240","210","210","190","180","190","240","260","270","220","200","190"
"12011","2020/09/07 08:25","260","260","260","220","200","190","180","190","240","270","280","240","220","190","170","190","240","260","270","230","210","200"
"12041","2020/09/07 08:25","270","270","260","220","210","190","180","190","240","270","270","240","220","210","210","210","230","260","270","230","210","210"
"12141","2020/09/07 08:25","260","260","260","240","220","200","200","190","230","270","280","250","230","220","200","210","240","260","270","240","210","210"
"12181","2020/09/07 08:25","260","260","260","230","210","200","190","190","240","290","280","240","230","220","200","200","240","260","260","230","220","210"
"12231","2020/09/07 08:25","260","270","270","220","210","190","180","180","240","290","280","230","220","210","190","190","250","270","260","230","210","210"
