"id","dt","2020102821","2020102824","2020102903","2020102906","2020102909","2020102912","2020102915","2020102918","2020102921","2020102924","2020103003","2020103006","2020103009","2020103012","2020103015","2020103018","2020103021","2020103024"
"15116","2020/10/28 20:25","50","60","60","60","90","120","100","50","40","40","30","30","40","90","80","60","50","30"
"15161","2020/10/28 20:25","60","60","60","60","90","110","100","50","30","30","20","20","40","90","90","60","50","50"
"15231","2020/10/28 20:25","40","50","70","70","90","110","90","40","30","40","30","20","40","90","90","60","50","30"
"15241","2020/10/28 20:25","50","60","60","80","110","110","90","50","40","30","20","20","40","90","90","70","50","40"
"15251","2020/10/28 20:25","50","60","60","60","90","120","90","50","40","30","30","30","50","100","100","70","60","50"
"15311","2020/10/28 20:25","60","70","70","60","100","120","90","50","40","20","30","30","60","100","100","60","50","30"
"15321","2020/10/28 20:25","60","60","80","80","110","120","110","60","50","40","30","40","60","90","100","70","60","60"
"15356","2020/10/28 20:25","80","80","80","90","110","110","100","60","50","40","40","40","70","100","100","70","60","50"
"15431","2020/10/28 20:25","90","80","90","90","120","120","90","70","50","30","40","30","70","100","100","80","60","50"
"15442","2020/10/28 20:25","70","70","70","80","100","110","90","40","30","20","20","30","70","90","100","60","50","40"
"16026","2020/10/28 20:25","80","80","70","50","100","90","70","30","30","30","30","20","70","110","100","60","60","50"
"16061","2020/10/28 20:25","110","90","80","80","100","80","80","60","60","50","60","50","70","110","110","80","70","60"
"16076","2020/10/28 20:25","70","70","60","80","100","80","70","40","40","30","40","30","60","100","100","70","70","60"
"16091","2020/10/28 20:25","80","80","80","70","100","100","80","50","40","40","50","40","70","100","110","90","80","70"
"16156","2020/10/28 20:25","90","80","80","80","90","80","80","50","40","40","40","40","60","100","110","80","70","60"
"16206","2020/10/28 20:25","90","80","80","60","70","80","70","40","40","40","40","50","50","110","110","80","70","70"
"16217","2020/10/28 20:25","70","70","60","50","80","90","80","40","30","20","20","30","40","90","100","70","70","60"
"16252","2020/10/28 20:25","100","80","70","60","80","70","60","40","40","50","50","40","80","110","110","90","90","80"
"16281","2020/10/28 20:25","70","70","60","70","70","70","50","20","20","10","10","20","40","80","80","60","50","50"
"16286","2020/10/28 20:25","20","60","50","50","70","80","60","30","20","20","20","20","30","90","90","70","60","60"
"16321","2020/10/28 20:25","100","90","80","60","80","80","70","40","20","30","30","30","60","110","110","80","70","60"
"17036","2020/10/28 20:25","70","40","50","80","90","120","110","60","40","30","30","30","80","100","80","60","70","60"
"17076","2020/10/28 20:25","50","30","40","70","90","110","120","60","30","30","20","20","80","100","90","70","60","50"
"17091","2020/10/28 20:25","30","20","30","50","70","110","100","40","30","30","20","10","50","90","70","40","40","50"
"17112","2020/10/28 20:25","60","60","80","80","90","120","120","70","50","40","40","40","90","110","90","70","70","60"
"17166","2020/10/28 20:25","60","50","70","70","90","120","130","60","40","30","20","20","80","110","90","80","70","70"
"17196","2020/10/28 20:25","10","10","30","40","70","110","110","40","30","30","20","20","60","90","70","30","40","50"
"17246","2020/10/28 20:25","70","60","70","70","100","120","120","70","50","30","20","10","80","110","100","70","70","70"
"17306","2020/10/28 20:25","30","10","50","60","90","110","120","60","30","20","10","0","70","100","90","60","60","60"
"17316","2020/10/28 20:25","20","10","60","70","110","110","110","60","40","20","0","0","60","100","90","70","70","60"
"17341","2020/10/28 20:25","70","60","80","90","100","120","120","90","50","30","40","30","80","110","90","80","70","60"
"17351","2020/10/28 20:25","60","70","70","80","90","100","120","80","60","50","40","40","80","90","80","60","70","60"
"17482","2020/10/28 20:25","20","40","40","50","40","90","80","30","20","10","10","10","50","70","60","30","30","30"
"17501","2020/10/28 20:25","10","10","40","60","90","110","110","50","20","10","0","0","50","90","90","70","50","50"
"17521","2020/10/28 20:25","70","40","60","60","90","110","120","70","40","40","10","0","60","100","100","70","70","60"
"17546","2020/10/28 20:25","70","70","80","70","90","130","130","80","50","40","40","20","90","100","90","80","70","60"
"17561","2020/10/28 20:25","40","40","70","80","90","110","130","80","60","40","40","20","70","100","90","80","80","70"
"17596","2020/10/28 20:25","30","40","50","60","80","100","90","40","30","10","0","0","50","90","80","60","60","50"
"17607","2020/10/28 20:25","60","40","50","70","90","120","110","60","20","10","10","0","60","100","90","70","60","50"
"17631","2020/10/28 20:25","50","40","60","80","90","130","120","80","50","40","0","0","70","90","90","70","60","60"
"17717","2020/10/28 20:25","40","30","50","60","90","130","130","80","50","20","0","0","70","100","90","60","60","50"
"18038","2020/10/28 20:25","60","50","60","80","100","100","110","80","60","50","40","30","90","100","100","80","80","70"
"18136","2020/10/28 20:25","60","40","50","80","100","130","140","80","60","40","40","20","90","110","100","60","70","70"
"18161","2020/10/28 20:25","40","30","60","60","90","140","130","70","60","40","30","10","80","100","80","60","70","60"
"18171","2020/10/28 20:25","30","20","50","70","90","120","130","80","50","40","20","0","80","100","90","60","60","60"
"18256","2020/10/28 20:25","20","20","50","70","100","120","130","70","40","30","10","10","90","100","90","30","50","50"
"18273","2020/10/28 20:25","90","80","90","90","100","100","120","100","80","70","50","50","90","110","100","80","80","80"
"18281","2020/10/28 20:25","80","80","90","90","110","110","130","90","80","70","50","50","100","120","110","80","90","90"
"18311","2020/10/28 20:25","70","50","70","80","90","110","130","80","60","30","30","20","90","110","90","40","40","40"
"19021","2020/10/28 20:25","50","30","70","80","90","120","120","50","20","10","0","0","60","90","80","50","60","60"
"19051","2020/10/28 20:25","60","50","70","80","80","130","130","70","30","20","10","0","70","90","90","60","60","60"
"19076","2020/10/28 20:25","30","50","70","70","80","110","110","50","20","0","0","0","50","80","70","40","50","50"
"19151","2020/10/28 20:25","10","20","50","70","90","130","130","60","40","10","0","0","60","100","100","50","60","60"
"19191","2020/10/28 20:25","50","60","70","90","100","140","140","70","40","20","10","0","80","100","100","70","70","60"
"19261","2020/10/28 20:25","40","50","60","100","120","150","140","50","30","10","0","0","90","110","100","50","60","50"
"19311","2020/10/28 20:25","50","70","80","90","100","130","130","70","60","30","20","20","90","100","90","50","60","60"
"19376","2020/10/28 20:25","70","70","70","80","90","130","130","80","40","30","30","20","90","100","100","60","60","50"
"19416","2020/10/28 20:25","90","90","90","90","110","140","140","60","40","20","10","0","90","100","100","60","60","60"
"19432","2020/10/28 20:25","100","90","90","80","90","140","140","90","50","50","40","30","80","100","100","90","80","70"
"19451","2020/10/28 20:25","90","70","70","70","80","120","120","80","50","40","40","40","80","90","90","70","60","50"
"20146","2020/10/28 20:25","30","40","60","70","80","130","130","50","20","0","0","0","30","100","100","60","60","50"
"20186","2020/10/28 20:25","30","40","60","80","60","110","90","20","10","0","0","0","40","80","80","30","20","10"
"20266","2020/10/28 20:25","60","50","60","70","80","130","110","50","30","20","10","20","70","90","100","50","50","40"
"20276","2020/10/28 20:25","50","40","60","80","110","140","130","70","40","20","10","10","60","110","110","70","70","50"
"20341","2020/10/28 20:25","40","50","50","60","100","140","130","70","40","20","0","0","60","110","110","70","70","50"
"20356","2020/10/28 20:25","70","60","50","60","80","120","110","50","40","20","20","20","70","100","100","80","70","50"
