"id","dt","2020100409","2020100412","2020100415","2020100418","2020100421","2020100424","2020100503","2020100506","2020100509","2020100512","2020100515","2020100518","2020100521","2020100524","2020100603","2020100606","2020100609","2020100612","2020100615","2020100618","2020100621","2020100624"
"14101","2020/10/04 08:25","150","180","170","130","120","120","110","130","180","170","150","120","110","90","90","110","150","150","140","110","100","90"
"14116","2020/10/04 08:25","160","170","160","130","120","130","120","130","170","180","170","120","100","80","100","130","150","150","150","120","100","90"
"14121","2020/10/04 08:25","150","170","160","140","130","130","120","130","170","170","150","110","100","90","110","130","140","150","140","120","100","90"
"14136","2020/10/04 08:25","160","180","170","140","120","120","110","110","190","170","160","120","110","90","110","120","150","150","150","110","90","80"
"14163","2020/10/04 08:25","160","170","150","130","130","130","130","140","180","160","150","130","120","110","120","130","130","150","150","140","130","120"
"14206","2020/10/04 08:25","150","170","150","140","120","110","110","130","180","160","150","120","100","90","100","100","140","150","140","110","90","70"
"14286","2020/10/04 08:25","140","140","140","130","120","120","130","140","140","140","140","90","90","80","90","110","120","140","130","110","100","100"
"15116","2020/10/04 08:25","140","170","170","140","120","110","110","110","180","160","140","110","100","90","90","100","130","150","140","110","80","80"
"15161","2020/10/04 08:25","170","170","160","130","120","110","110","120","180","160","140","100","110","90","100","110","140","150","140","110","90","80"
"15231","2020/10/04 08:25","150","160","150","130","110","100","100","110","170","150","140","100","100","90","100","100","140","140","130","100","80","70"
"15241","2020/10/04 08:25","160","160","160","140","120","120","110","120","180","150","140","110","110","90","100","110","130","140","130","120","100","90"
"15251","2020/10/04 08:25","160","160","160","140","110","110","110","130","170","160","150","110","100","90","100","110","140","140","130","120","100","90"
"15311","2020/10/04 08:25","160","170","170","130","110","120","120","130","170","170","150","110","100","90","100","110","150","150","140","110","90","80"
"15321","2020/10/04 08:25","160","180","170","140","130","110","110","130","180","170","150","120","110","100","100","120","140","150","140","110","90","80"
"15356","2020/10/04 08:25","170","170","160","120","120","120","120","140","180","160","150","120","110","80","90","110","140","150","140","120","110","90"
